scenario,scenario_type,case_key,case_name,trades,win_rate,expected_return,total_return_pct,max_drawdown_pct,avg_holding_days,tp_count,sl_count,timeout_count,top20_win_rate,prob65_win_rate,avg_peak_profit_pct,avg_trade_drawdown_pct
2025_ai_bubble,bull,combo_regime_strict__fixed6__margin_le20,地合い厳格化 x 固定6% x 信用倍率20倍以下,795,65.0,2.244,72.305,-8.123,3.06,411,216,168,84.9,78.6,5.673,-2.097
2025_ai_bubble,bull,combo_regime_strict__fixed6__margin_le5,地合い厳格化 x 固定6% x 信用倍率5倍以下,693,62.5,1.974,68.693,-7.726,3.04,334,202,157,87.7,80.3,5.4,-2.174
2025_ai_bubble,bull,combo_regime_strict__fixed6__short_pressure,地合い厳格化 x 固定6% x 売り残比率10%以上,759,65.3,2.279,87.41,-7.827,3.09,388,198,173,88.7,82.1,5.683,-2.043
2025_ai_bubble,bull,combo_regime_strict__fixed7,地合い厳格化 x 固定7%,832,60.9,2.48,79.682,-9.729,4.35,445,298,89,82.5,78.1,6.515,-2.586
2025_ai_bubble,bull,combo_regime_strict__fixed7__margin_le10,地合い厳格化 x 固定7% x 信用倍率10倍以下,673,57.9,2.202,65.054,-8.025,4.41,343,256,74,81.3,73.5,6.339,-2.593
2025_ai_bubble,bull,combo_regime_strict__fixed7__margin_le20,地合い厳格化 x 固定7% x 信用倍率20倍以下,716,59.8,2.381,64.922,-8.293,4.39,374,261,81,83.9,74.3,6.426,-2.523
2025_ai_bubble,bull,combo_regime_strict__fixed7__margin_le5,地合い厳格化 x 固定7% x 信用倍率5倍以下,611,59.9,2.343,60.864,-5.783,4.52,314,220,77,84.4,76.5,6.338,-2.528
2025_ai_bubble,bull,combo_regime_strict__fixed7__short_pressure,地合い厳格化 x 固定7% x 売り残比率10%以上,673,57.9,2.202,65.054,-8.025,4.41,343,256,74,81.3,73.5,6.339,-2.593
2025_ai_bubble,bull,combo_regime_strict__ma5,地合い厳格化 x 5日MA割れ,729,61.3,3.071,84.627,-7.81,6.22,426,280,23,83.4,75.2,9.434,-2.845
2025_ai_bubble,bull,combo_regime_strict__ma5__margin_le10,地合い厳格化 x 5日MA割れ x 信用倍率10倍以下,589,60.3,3.325,56.504,-4.822,6.35,333,234,22,83.8,72.1,9.876,-2.889
2025_ai_bubble,bull,combo_regime_strict__ma5__margin_le20,地合い厳格化 x 5日MA割れ x 信用倍率20倍以下,618,59.9,3.325,62.125,-7.971,6.22,350,246,22,83.7,70.5,9.942,-2.815
2025_ai_bubble,bull,combo_regime_strict__ma5__margin_le5,地合い厳格化 x 5日MA割れ x 信用倍率5倍以下,540,59.8,3.243,62.676,-8.106,6.29,303,216,21,79.6,72.0,10.042,-2.862
2025_ai_bubble,bull,combo_regime_strict__ma5__short_pressure,地合い厳格化 x 5日MA割れ x 売り残比率10%以上,589,60.3,3.325,56.504,-4.822,6.35,333,234,22,83.8,72.1,9.876,-2.889
2025_ai_bubble,bull,combo_regime_strict__pullback2,地合い厳格化 x 反落-2%,731,60.5,3.281,100.75,-6.634,5.75,312,269,150,85.6,78.0,9.035,-2.786
2025_ai_bubble,bull,combo_regime_strict__pullback2__margin_le10,地合い厳格化 x 反落-2% x 信用倍率10倍以下,612,59.0,2.941,75.916,-4.725,5.81,250,228,134,80.3,71.6,8.7,-2.714
2025_ai_bubble,bull,combo_regime_strict__pullback2__margin_le20,地合い厳格化 x 反落-2% x 信用倍率20倍以下,636,61.0,3.323,84.775,-4.7,5.8,271,227,138,83.5,74.1,8.859,-2.707
