scenario,mix_name,date,daily_return_pct,equity,drawdown_pct,combo_current__pullback2__margin_le20_return_pct,combo_current__ma5__margin_le20_return_pct,combo_current__rsi70__margin_le5_return_pct,combo_current__fixed10_return_pct
2024_ai_bubble,defensive_mix,2024-03-06,0.0068,122.2297,0.0,0.0,0.0,0.0956,-0.1095
2024_ai_bubble,defensive_mix,2024-03-07,0.0887,122.3184,0.0,0.0733,0.3198,0.0494,0.0628
2024_ai_bubble,defensive_mix,2024-03-08,-0.2811,122.0372,-0.2298,-0.4757,-0.4222,-0.4596,0.4463
2024_ai_bubble,defensive_mix,2024-03-09,-0.6165,121.4207,-0.7339,-0.0183,-1.1919,-1.3405,-0.4394
2024_ai_bubble,defensive_mix,2024-03-10,0.0152,121.4359,-0.7215,0.0,0.1517,0.0,0.0
2024_ai_bubble,defensive_mix,2024-03-11,0.1242,121.56,-0.62,0.1048,0.0,0.0686,0.3082
2024_ai_bubble,defensive_mix,2024-03-12,0.0,121.56,-0.62,0.0,0.0,0.0,0.0
2024_ai_bubble,defensive_mix,2024-03-13,-0.1491,121.4109,-0.7419,-0.0627,0.1276,0.0,-0.6839
2024_ai_bubble,defensive_mix,2024-03-14,-0.6238,120.7871,-1.2518,-0.7786,-0.3493,-0.4692,-0.6835
2024_ai_bubble,defensive_mix,2024-03-15,-0.123,120.6641,-1.3524,-0.0457,-0.066,-0.0792,-0.3717
2024_ai_bubble,defensive_mix,2024-03-16,0.131,120.7951,-1.2453,0.0,0.0,0.1385,0.4471
2024_ai_bubble,defensive_mix,2024-03-17,0.389,121.1841,-0.9273,0.0,0.0,0.6455,0.9768
2024_ai_bubble,defensive_mix,2024-03-18,3.1441,124.3282,0.0,0.5798,0.0,2.3485,11.0378
2024_ai_bubble,defensive_mix,2024-03-19,2.2259,126.5541,0.0,0.0594,0.0,7.101,0.3594
2024_ai_bubble,defensive_mix,2024-03-20,2.9916,129.5457,0.0,0.4232,0.4694,9.2075,0.0656
2024_ai_bubble,defensive_mix,2024-03-21,0.9531,130.4988,0.0,0.9929,5.4854,0.0446,-0.0297
2024_ai_bubble,defensive_mix,2024-03-22,0.7567,131.2556,0.0,0.9998,1.2553,0.6089,0.2429
2024_ai_bubble,defensive_mix,2024-03-23,0.2177,131.4733,0.0,-0.0167,1.2343,-0.0159,0.5288
2024_ai_bubble,defensive_mix,2024-03-24,1.8448,133.3181,0.0,5.0834,-0.0904,-0.4998,-0.1478
2024_ai_bubble,defensive_mix,2024-03-25,3.9577,137.2758,0.0,9.8101,0.3365,0.0,0.0
2024_ai_bubble,defensive_mix,2024-03-26,0.0238,137.2997,0.0,0.0,0.0,0.0795,0.0
2024_ai_bubble,defensive_mix,2024-03-27,0.7835,138.0832,0.0,-0.381,10.5428,-0.6798,0.4278
2024_ai_bubble,defensive_mix,2024-03-28,0.0191,138.1022,0.0,-0.0558,-0.1826,0.255,-0.0843
2024_ai_bubble,defensive_mix,2024-03-29,-0.0888,138.0134,-0.0643,-0.1966,-0.2018,0.0,0.05
2024_ai_bubble,defensive_mix,2024-03-30,-0.1064,137.907,-0.1414,-0.1835,-0.0342,0.0434,-0.2127
2024_ai_bubble,defensive_mix,2024-03-31,-0.0653,137.8417,-0.1887,-0.116,-0.276,-0.0279,0.0852
2024_ai_bubble,defensive_mix,2024-04-01,-0.4245,137.4173,-0.496,-0.141,-0.8421,-0.6311,-0.4726
2024_ai_bubble,defensive_mix,2024-04-02,-0.1766,137.2407,-0.6239,-0.1786,-0.1834,-0.1703,-0.1784
2024_ai_bubble,defensive_mix,2024-04-03,-0.0157,137.225,-0.6352,0.0,0.0,-0.0523,0.0
